('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       49    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       49    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       48    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       44    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       43    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       42    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       41    0.000    0.000    0.159    0.004 models.py:816(generate)
       41    0.000    0.000    0.159    0.004 response.py:1044(stream)
