('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      299    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
  170/167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       99    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
      423    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
      3/2    0.000    0.000    0.938    0.469 sessions.py:159(resolve_redirects)
      555    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      195    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       49    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      125    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      324    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      306    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
       56    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      491    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        5    0.000    0.000    0.000    0.000 feedparser.py:102(push)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      529    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
       10    0.000    0.000    0.001    0.000 structures.py:40(__init__)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        2    0.000    0.000    0.004    0.002 utils.py:204(get_netrc_auth)
      221    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      309    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    1.006    0.503 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.123    0.123 __init__.py:209(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        1    0.000    0.000    0.001    0.001 sessions.py:390(__init__)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    1.150    1.150 api.py:14(request)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      390    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        2    0.000    0.000    0.004    0.002 parser.py:41(parse)
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        6    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
       58    0.000    0.000    0.113    0.002 client.py:633(_safe_read)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        7    0.000    0.000    0.003    0.000 feedparser.py:178(_call_parse)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
       24    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
       41    0.000    0.000    0.122    0.003 response.py:1044(stream)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.034    0.034 dammit.py:1(<module>)
       40    0.000    0.000    0.007    0.000 response.py:469(_decode)
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
       32    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.001    0.001 adapters.py:359(build_response)
